ferdinand,Ferdinand,5.40000e15,uranus
perdita,Perdita,1.80000e19,uranus
mab,Mab,1.00000e16,uranus
cupid,Cupid,3.80000e15,uranus
triton,Triton,2.14000e22,neptune
nereide,Nereid,3.00000e19,neptune
naiade,Naiad,2.00000e17,neptune
thalassa,Thalassa,4.00000e17,neptune
despina,Despina,2.00000e18,neptune
galatee,Galatea,2.00000e18,neptune
larissa,Larissa,5.00000e18,neptune
protee,Proteus,5.00000e19,neptune
halimede,Halimede,2.00000e17,neptune
psamathee,Psamathe,2.00000e16,neptune
sao,Sao,1.00000e17,neptune
laomedie,Laomedeia,1.00000e17,neptune
neso,Neso,1.00000e17,neptune
charon,Charon,1.58000e21,pluton
nix,Nix,4.50000e16,pluton
hydra,Hydra,4.80000e16,pluton
namaka,Namaka,1.79000e18,haumea
hiiaka,Hiʻiaka,1.78000e19,haumea
dysnomie,Dysnomia,145.00000e18,eris
dia,Dia,9.00000e13,jupiter
ceres,Ceres,9.39300e20,null
hebe,Hebe,6.70000e18,null
pulcova,Pulcova,2.60000e18,null
toutatis,Toutatis,50.00000e12,null
quaoar,Quaoar,1.00000e21,null
eris,Eris,1.66000e22,null
astree,Astraea,1.20000e18,null
pholus,Pholus,7.50000e18,null
castalia,Castalia,1.30000e12,null
remus,Remus,2.00000e14,sylvia
hector,Hektor,1.40000e19,null
kleopatra,Kleopatra,3.00000e18,null
cruithne,Cruithne,1.30000e14,null
junon,Juno,2.82000e19,null
hygie,Hygiea,1.00000e20,null
lutetia,Lutetia,1.70000e18,null
mathilde,Mathilde,1.03000e17,null
uranus,Uranus,8.68127e25,null
iris,Iris,8.40000e18,null
eros,Eros,7.20000e15,null
vanth,Vanth,3.60000e19,orcus
sedna,Sedna,1.00000e21,null
sylvia,Sylvia,1.47800e19,null
orcus,Orcus,7.00000e20,null
pluton,Pluto,1.30300e22,null
flore,Flora,2.60000e18,null
chiron,Chiron,2.00000e18,null
achille,Achilles,2.60000e18,null
ixion,Ixion,2.30000e20,null
neptune,Neptune,1.02413e26,null
9metis,Metis,4.60000e18,null
haumea,Haumea,4.00600e21,null
itokawa,Itokawa,3.50000e10,null
eugenia,Eugenia,6.21000e18,null
pallas,Pallas,2.11000e20,null
varuna,Varuna,1.55000e20,null
vesta,Vesta,2.70000e20,null
ida,Ida,1.00000e17,null
gaspra,Gaspra,1.00000e16,null
albion,Albion,9.00000e17,null
makemake,Makemake,4.40000e21,null
jupiter,Jupiter,1.89819e27,null
mars,Mars,6.41712e23,null
mercure,Mercury,3.30114e23,null
saturne,Saturn,5.68336e26,null
soleil,Sun,1.98900e30,null
terre,Earth,5.97237e24,null
venus,Venus,4.86747e24,null
kerberos,Kerberos,1.64000e16,pluton
styx,Styx,7.50000e15,pluton
hippocampe,Hippocamp,3.00000e16,neptune
